date,category,commodity,commodity_id,unit,price,usdprice
2012-01-15,oil and fats,Ghee (natural),107,KG,42.1,6.97
2012-01-15,pulses and nuts,"Beans (fava, dry)",385,KG,10.5,1.74
2012-01-15,pulses and nuts,Lentils,108,KG,11.6,1.92
2012-01-15,vegetables and fruits,Garlic,105,KG,8,1.32
2012-01-15,vegetables and fruits,Onions (red),110,KG,2.9,0.48
2012-01-15,vegetables and fruits,Onions (white),111,KG,2.3,0.38
2012-01-15,vegetables and fruits,Tomatoes,114,KG,2.2,0.36
2012-02-15,cereals and tubers,Potatoes,83,KG,2,0.33
2012-02-15,cereals and tubers,Rice,52,KG,4.5,0.75
2012-02-15,cereals and tubers,Wheat flour,58,KG,4.5,0.75
2012-02-15,"meat, fish and eggs",Meat (beef),141,KG,58.3,9.67
2012-02-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,15.6,2.59
2012-02-15,oil and fats,Ghee (artificial),106,KG,12.1,2.01
2012-02-15,oil and fats,Ghee (natural),107,KG,42.4,7.03
2012-02-15,pulses and nuts,"Beans (fava, dry)",385,KG,10.2,1.69
2012-02-15,vegetables and fruits,Garlic,105,KG,6.9,1.14
2012-02-15,vegetables and fruits,Onions (red),110,KG,2.4,0.4
2012-02-15,vegetables and fruits,Onions (white),111,KG,2.1,0.35
2012-02-15,vegetables and fruits,Tomatoes,114,KG,2.4,0.4
2012-03-15,cereals and tubers,Pasta,112,KG,4.1,0.68
2012-03-15,cereals and tubers,Potatoes,83,KG,1.9,0.32
2012-03-15,cereals and tubers,Wheat flour,58,KG,4.5,0.75
2012-03-15,"meat, fish and eggs",Meat (beef),141,KG,58.3,9.67
2012-03-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,18.3,3.03
2012-03-15,miscellaneous food,Sugar,97,KG,6,1
2012-03-15,oil and fats,Ghee (artificial),106,KG,14.1,2.34
2012-03-15,oil and fats,Oil (maize),362,800 G,14.1,2.34
2012-03-15,pulses and nuts,"Beans (fava, dry)",385,KG,11,1.82
2012-03-15,pulses and nuts,Lentils,108,KG,11,1.82
2012-03-15,vegetables and fruits,Garlic,105,KG,8.7,1.44
2012-03-15,vegetables and fruits,Onions (red),110,KG,2.4,0.4
2012-03-15,vegetables and fruits,Tomatoes,114,KG,2.5,0.41
2012-04-15,cereals and tubers,Pasta,112,KG,4.55,0.75
2012-04-15,cereals and tubers,Potatoes,83,KG,2,0.33
2012-04-15,miscellaneous food,Sugar,97,KG,6,0.99
2012-04-15,oil and fats,Ghee (natural),107,KG,41.8,6.92
2012-04-15,pulses and nuts,"Beans (fava, dry)",385,KG,10.69,1.77
2012-04-15,vegetables and fruits,Garlic,105,KG,3.32,0.55
2012-04-15,vegetables and fruits,Onions (red),110,KG,2.62,0.43
2012-04-15,vegetables and fruits,Onions (white),111,KG,1.95,0.32
2012-04-15,vegetables and fruits,Tomatoes,114,KG,3.65,0.6
2012-05-15,cereals and tubers,Pasta,112,KG,4.06,0.67
2012-05-15,cereals and tubers,Potatoes,83,KG,1.93,0.32
2012-05-15,cereals and tubers,Rice,52,KG,4.31,0.71
2012-05-15,cereals and tubers,Wheat flour,58,KG,4.18,0.69
2012-05-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,17,2.82
2012-05-15,miscellaneous food,Sugar,97,KG,5.4,0.9
2012-05-15,oil and fats,Ghee (natural),107,KG,43.25,7.17
2012-05-15,oil and fats,Oil (maize),362,800 G,13.6,2.26
2012-05-15,pulses and nuts,"Beans (fava, dry)",385,KG,7.9,1.31
2012-05-15,pulses and nuts,Lentils,108,KG,8.1,1.34
2012-05-15,vegetables and fruits,Onions (white),111,KG,1.75,0.29
2012-05-15,vegetables and fruits,Tomatoes,114,KG,3.8,0.63
2012-06-15,cereals and tubers,Pasta,112,KG,4.35,0.72
2012-06-15,cereals and tubers,Potatoes,83,KG,1.95,0.32
2012-06-15,cereals and tubers,Rice,52,KG,4.38,0.72
2012-06-15,cereals and tubers,Wheat flour,58,KG,4.65,0.77
2012-06-15,"meat, fish and eggs",Meat (beef),141,KG,55.25,9.15
2012-06-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,17,2.81
2012-06-15,oil and fats,Ghee (artificial),106,KG,12.56,2.08
2012-06-15,oil and fats,Ghee (natural),107,KG,33,5.46
2012-06-15,oil and fats,Oil (maize),362,800 G,13.1,2.17
2012-06-15,pulses and nuts,"Beans (fava, dry)",385,KG,11.12,1.84
2012-06-15,pulses and nuts,Lentils,108,KG,10.35,1.71
2012-06-15,vegetables and fruits,Garlic,105,KG,3.75,0.62
2012-06-15,vegetables and fruits,Onions (red),110,KG,2.01,0.33
2012-06-15,vegetables and fruits,Tomatoes,114,KG,2.45,0.41
2012-07-15,cereals and tubers,Rice,52,KG,4.3,0.71
2012-07-15,cereals and tubers,Wheat flour,58,KG,4.43,0.73
2012-07-15,"meat, fish and eggs",Meat (beef),141,KG,55.7,9.19
2012-07-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,19.9,3.28
2012-07-15,oil and fats,Ghee (natural),107,KG,36.2,5.97
2012-07-15,oil and fats,Oil (maize),362,800 G,12.1,2
2012-07-15,vegetables and fruits,Onions (red),110,KG,2.15,0.35
2012-07-15,vegetables and fruits,Onions (white),111,KG,1.85,0.31
2012-07-15,vegetables and fruits,Tomatoes,114,KG,1.79,0.3
2012-08-15,cereals and tubers,Potatoes,83,KG,2.71,0.45
2012-08-15,cereals and tubers,Rice,52,KG,4.43,0.73
2012-08-15,"meat, fish and eggs",Meat (beef),141,KG,55.6,9.14
2012-08-15,miscellaneous food,Sugar,97,KG,5.78,0.95
2012-08-15,oil and fats,Ghee (artificial),106,KG,12,1.97
2012-08-15,oil and fats,Ghee (natural),107,KG,42.12,6.93
2012-08-15,pulses and nuts,"Beans (fava, dry)",385,KG,10.68,1.76
2012-08-15,vegetables and fruits,Onions (red),110,KG,2.5,0.41
2012-08-15,vegetables and fruits,Onions (white),111,KG,1.9,0.31
2012-08-15,vegetables and fruits,Tomatoes,114,KG,3.75,0.62
2012-09-15,cereals and tubers,Pasta,112,KG,4.67,0.77
2012-09-15,cereals and tubers,Potatoes,83,KG,3.05,0.5
2012-09-15,cereals and tubers,Rice,52,KG,4.08,0.67
2012-09-15,cereals and tubers,Wheat flour,58,KG,4.45,0.73
2012-09-15,"meat, fish and eggs",Meat (beef),141,KG,54.4,8.93
2012-09-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,19.2,3.15
2012-09-15,oil and fats,Ghee (artificial),106,KG,12.4,2.04
2012-09-15,oil and fats,Oil (maize),362,800 G,13.2,2.17
2012-09-15,pulses and nuts,"Beans (fava, dry)",385,KG,9.9,1.63
2012-09-15,pulses and nuts,Lentils,108,KG,9.78,1.61
2012-09-15,vegetables and fruits,Garlic,105,KG,8.5,1.4
2012-09-15,vegetables and fruits,Onions (red),110,KG,3.17,0.52
2012-09-15,vegetables and fruits,Onions (white),111,KG,3.17,0.52
2012-09-15,vegetables and fruits,Tomatoes,114,KG,6.25,1.03
2012-10-15,cereals and tubers,Potatoes,83,KG,3.1,0.51
2012-10-15,cereals and tubers,Rice,52,KG,3.8,0.62
2012-10-15,cereals and tubers,Wheat flour,58,KG,4.5,0.74
2012-10-15,"meat, fish and eggs",Meat (beef),141,KG,57.5,9.43
2012-10-15,miscellaneous food,Sugar,97,KG,4.6,0.75
2012-10-15,oil and fats,Ghee (artificial),106,KG,11.4,1.87
2012-10-15,oil and fats,Oil (maize),362,800 G,12.9,2.11
2012-10-15,pulses and nuts,"Beans (fava, dry)",385,KG,10.7,1.75
