date,category,commodity,commodity_id,unit,price,usdprice,calories (Kcal),protein (g),carbs (g),fat (g),iron (mg)
2012-02-15,pulses and nuts,"Beans (fava, dry)",385,KG,10.2,1.69,341,26.0,58.0,1.5,6.7
2012-02-15,vegetables and fruits,Garlic,105,KG,6.9,1.14,149,6.4,33.0,0.5,1.7
2012-02-15,vegetables and fruits,Onions (red),110,KG,2.4,0.4,40,1.1,9.0,0.1,0.2
2012-02-15,vegetables and fruits,Onions (white),111,KG,2.1,0.35,40,1.1,9.0,0.1,0.2
2012-02-15,vegetables and fruits,Tomatoes,114,KG,2.4,0.4,18,0.9,3.9,0.2,0.3
2012-03-15,cereals and tubers,Pasta,112,KG,4.1,0.68,370,13.0,75.0,1.5,1.3
2012-03-15,cereals and tubers,Potatoes,83,KG,1.9,0.32,77,2.0,17.0,0.1,0.8
2012-03-15,cereals and tubers,Wheat flour,58,KG,4.5,0.75,364,10.0,76.0,1.0,1.2
2012-03-15,"meat, fish and eggs",Meat (beef),141,KG,58.3,9.67,250,26.0,0.0,15.0,2.6
2012-03-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,18.3,3.03,239,27.0,0.0,14.0,1.3
2012-03-15,miscellaneous food,Sugar,97,KG,6.0,1.0,387,0.0,100.0,0.0,0.1
2012-03-15,oil and fats,Ghee (artificial),106,KG,14.1,2.34,884,0.0,0.0,100.0,0.0
2012-03-15,oil and fats,Oil (maize),362,800 G,14.1,2.34,884,0.0,0.0,100.0,0.0
2012-03-15,pulses and nuts,"Beans (fava, dry)",385,KG,11.0,1.82,341,26.0,58.0,1.5,6.7
2012-03-15,pulses and nuts,Lentils,108,KG,11.0,1.82,353,25.0,60.0,1.1,7.5
2012-03-15,vegetables and fruits,Garlic,105,KG,8.7,1.44,149,6.4,33.0,0.5,1.7
2012-03-15,vegetables and fruits,Onions (red),110,KG,2.4,0.4,40,1.1,9.0,0.1,0.2
2012-03-15,vegetables and fruits,Tomatoes,114,KG,2.5,0.41,18,0.9,3.9,0.2,0.3
2012-04-15,cereals and tubers,Pasta,112,KG,4.55,0.75,370,13.0,75.0,1.5,1.3
2012-04-15,cereals and tubers,Potatoes,83,KG,2.0,0.33,77,2.0,17.0,0.1,0.8
2012-04-15,miscellaneous food,Sugar,97,KG,6.0,0.99,387,0.0,100.0,0.0,0.1
2012-04-15,oil and fats,Ghee (natural),107,KG,41.8,6.92,883,0.0,0.0,99.8,0.0
2012-04-15,pulses and nuts,"Beans (fava, dry)",385,KG,10.69,1.77,341,26.0,58.0,1.5,6.7
2012-04-15,vegetables and fruits,Garlic,105,KG,3.32,0.55,149,6.4,33.0,0.5,1.7
2012-04-15,vegetables and fruits,Onions (red),110,KG,2.62,0.43,40,1.1,9.0,0.1,0.2
2012-04-15,vegetables and fruits,Onions (white),111,KG,1.95,0.32,40,1.1,9.0,0.1,0.2
2012-04-15,vegetables and fruits,Tomatoes,114,KG,3.65,0.6,18,0.9,3.9,0.2,0.3
